,idx,nid,label
0,0,165d.B.15,0
1,0,165d.B.16,0
2,0,165d.A.3,0
3,0,165d.A.1,0
4,0,165d.B.17,0
5,0,165d.A.2,0
6,1,165d.B.10,0
7,1,165d.A.6,0
8,1,165d.B.11,0
9,1,165d.A.8,0
10,1,165d.A.7,0
11,2,1ac3.B.14,40
12,2,1ac3.B.15,40
13,2,1ac3.B.16,40
14,2,1ac3.B.17,40
15,2,1ac3.B.18,40
16,2,1ac3.B.19,40
17,2,1ac3.B.20,40
18,2,1ac3.B.21,40
19,2,1ac3.B.22,40
20,3,1aju.A.19,33
21,3,1aju.A.20,33
22,3,1aju.A.21,33
23,3,1aju.A.22,33
24,3,1aju.A.23,33
25,3,1aju.A.25,33
26,3,1aju.A.26,33
27,3,1aju.A.27,33
28,3,1aju.A.28,33
29,3,1aju.A.29,33
30,3,1aju.A.30,33
31,3,1aju.A.31,33
32,3,1aju.A.33,33
33,3,1aju.A.34,33
34,3,1aju.A.35,33
35,3,1aju.A.36,33
36,3,1aju.A.37,33
37,3,1aju.A.38,33
38,3,1aju.A.39,33
39,3,1aju.A.40,33
40,3,1aju.A.41,33
41,3,1aju.A.42,33
42,3,1aju.A.43,33
43,4,1akx.A.19,33
44,4,1akx.A.20,33
45,4,1akx.A.21,33
46,4,1akx.A.22,33
47,4,1akx.A.23,33
48,4,1akx.A.25,33
49,4,1akx.A.26,33
50,4,1akx.A.27,33
51,4,1akx.A.28,33
52,4,1akx.A.29,33
53,4,1akx.A.30,33
54,4,1akx.A.33,33
55,4,1akx.A.34,33
56,4,1akx.A.35,33
57,4,1akx.A.36,33
58,4,1akx.A.37,33
59,4,1akx.A.38,33
60,4,1akx.A.39,33
61,4,1akx.A.40,33
62,4,1akx.A.41,33
63,4,1akx.A.42,33
64,4,1akx.A.43,33
65,5,1arj.N.18,33
66,5,1arj.N.19,33
67,5,1arj.N.20,33
68,5,1arj.N.21,33
69,5,1arj.N.22,33
70,5,1arj.N.23,33
71,5,1arj.N.24,33
72,5,1arj.N.25,33
73,5,1arj.N.26,33
74,5,1arj.N.27,33
75,5,1arj.N.28,33
76,5,1arj.N.29,33
